"","county","lat","lon","bachelor_degree","per_capita_income"
"111","Baldwin, AL",30.7725,-87.7842,31.91,54659
"112","Baldwin, GA",33.0582,-83.2522,24.34,40542
"113","Ballard, KY",37.0728,-89.0182,15.74,50888
"114","Baltimore, MD",39.4587,-76.637,39.75,69561
"115","Bamberg, SC",33.2334,-81.0342,18.14,41081
"116","Bandera, TX",29.729,-99.2012,22.42,58706
"117","Banks, GA",34.3445,-83.5214,15.75,43766
"118","Banner, NE",41.5476,-103.71,26.67,68909
"119","Bannock, ID",42.6408,-112.163,26.99,45443
"120","Baraga, MI",46.7009,-88.3348,15.16,41772
"121","Barber, KS",37.2356,-98.6754,20.59,56193
"122","Barbour, AL",31.8832,-85.3931,11.61,40428
"123","Barbour, WV",39.1254,-80.0274,13.9,40576
"124","Barnes, ND",46.9407,-98.0604,30.44,66463
"125","Barnstable, MA",41.7993,-69.9956,45.01,83191
"126","Barnwell, SC",33.2872,-81.4301,14.65,41828
"127","Barren, KY",36.9559,-85.9523,16.22,43678
"128","Barron, WI",45.4265,-91.8486,20.64,56898
"129","Barrow, GA",34.0119,-83.7101,20.19,44534
"130","Barry, MI",42.595,-85.3093,23.01,52951
"131","Barry, MO",36.7224,-93.8227,15.04,41248
"132","Bartholomew, IN",39.1949,-85.8843,33.95,61136
"133","Barton, KS",38.4839,-98.7568,21.31,53532
"134","Barton, MO",37.502,-94.3471,18.84,42329
"135","Bartow, GA",34.2431,-84.8388,19.79,47162
"136","Bastrop, TX",30.1035,-97.3242,21.54,44230
"137","Bates, MO",38.2475,-94.3433,14.79,46821
"138","Bath, KY",38.1478,-83.7763,15.47,37710
"139","Bath, VA",38.0555,-79.7352,17.4,72157
"140","Baxter, AR",36.233,-92.3172,17.75,43479
"141","Bay, FL",30.2988,-85.5727,24.48,53980
"142","Bay, MI",43.7384,-84.0552,19.67,50396
"143","Bayfield, WI",46.5601,-91.2402,32.07,53902
"144","Baylor, TX",33.616,-99.2137,20.97,58779
"145","Beadle, SD",44.4159,-98.2773,23.46,55409
"146","Bear Lake, ID",42.3017,-111.3162,18.29,45385
"147","Beaufort, NC",35.4781,-76.6975,20.71,54165
"148","Beaufort, SC",32.4803,-80.6733,42.04,70166
"149","Beaver, OK",36.7557,-100.4789,23.3,65668
"150","Beaver, PA",40.6657,-80.3336,25.54,56452
"151","Beaver, UT",38.362,-113.2065,25.81,46960
"152","Beaverhead, MT",45.1549,-113.0231,32.52,54430
"153","Becker, MN",46.9277,-95.6682,25.7,56147
"154","Beckham, OK",35.2651,-99.6826,16.67,40147
"155","Bedford, PA",40.0255,-78.483,15.89,49916
"156","Bedford, TN",35.5134,-86.4509,18.14,46083
"157","Bedford, VA",37.3125,-79.5652,30.85,53861
"158","Bee, TX",28.4248,-97.7101,10.78,34738
"159","Belknap, NH",43.5256,-71.4326,31.7,71958
"160","Bell, KY",36.7691,-83.6441,9.49,41763
"161","Bell, TX",31.0402,-97.51,25.33,49405
"162","Belmont, OH",40.0117,-80.9866,16.16,45375
"163","Beltrami, MN",47.9786,-94.8401,29.93,50833
"164","Ben Hill, GA",31.7537,-83.1608,10.97,38640
"165","Benewah, ID",47.2169,-116.6847,17.91,43922
"166","Bennett, SD",43.1945,-101.6686,22.4,46894
"167","Bennington, VT",43.0268,-73.1364,37.48,61287
"168","Benson, ND",48.1094,-99.4802,17.19,55282
"169","Bent, CO",37.9496,-103.0698,15.14,32716
"170","Benton, AR",36.2992,-94.2275,34.57,91687
"171","Benton, IA",42.0802,-92.067,20.44,63072
"172","Benton, IN",40.6037,-87.3111,18.39,53602
"173","Benton, MN",45.6899,-93.9838,23.13,53214
"174","Benton, MO",38.2997,-93.2977,14.66,43097
"175","Benton, MS",34.786,-89.1937,10.12,41767
"176","Benton, OR",44.4993,-123.4045,53.27,54174
"177","Benton, TN",36.0868,-88.0829,12.84,40963
"178","Benton, WA",46.2826,-119.5709,31.59,54958
"179","Benzie, MI",44.6464,-86.0352,32.47,54684
"180","Bergen, NJ",40.9485,-74.0323,50.67,97343
"181","Berkeley, SC",33.1639,-79.9106,25.38,48919
"182","Berkeley, WV",39.4436,-78.0264,22.81,49759
"183","Berks, PA",40.4065,-75.9294,25.91,57970
"184","Berkshire, MA",42.3939,-73.2014,35.31,65050
"185","Bernalillo, NM",35.0448,-106.677,35.28,53616
"186","Berrien, GA",31.251,-83.1933,13.18,39945
"187","Berrien, MI",42.0019,-86.3892,27.55,59656
"188","Bertie, NC",36.03,-76.985,14.51,48377
"189","Bethel Census Area, AK",60.4765,-160.8218,11.33,48189
"190","Bexar, TX",29.4377,-98.4722,28.47,51780
"191","Bibb, AL",33.0388,-87.0967,11.35,36892
"192","Bibb, GA",32.8066,-83.6856,25.31,46781
"193","Big Horn, MT",45.5509,-107.3996,18.58,36517
"194","Big Horn, WY",44.5851,-107.9869,20.07,47259
"195","Big Stone, MN",45.3816,-96.333,18.16,64816
"196","Billings, ND",46.9806,-103.3627,26.22,92571
"197","Bingham, ID",43.2471,-112.2977,20.49,42774
"198","Black Hawk, IA",42.4762,-92.318,29.2,51911
"199","Blackford, IN",40.4729,-85.3261,13.7,44325
"200","Bladen, NC",34.6121,-78.5716,18.17,47567
"201","Blaine, ID",43.3095,-113.8783,39.31,134722
"202","Blaine, MT",48.3646,-108.9651,24.5,34095
"203","Blaine, NE",41.913,-99.9765,23.14,62594
"204","Blaine, OK",35.8587,-98.4196,19.39,53081
"205","Blair, PA",40.4934,-78.3483,22.27,54470
"206","Blanco, TX",30.2172,-98.4077,28.15,66088
"207","Bland, VA",37.1272,-81.0776,13.4,42820
"208","Bleckley, GA",32.4283,-83.345,17.95,41298
"209","Bledsoe, TN",35.5632,-85.2671,11.42,33675
"210","Blount, AL",34.0126,-86.5339,13.25,42634
"211","Blount, TN",35.6773,-83.9095,24.62,52596
"212","Blue Earth, MN",44.0567,-94.0688,34.55,51834
"213","Boise, ID",43.9699,-115.7708,28.4,53198
"214","Bolivar, MS",33.8258,-90.8562,25.38,46512
"215","Bollinger, MO",37.3278,-90.0044,10.77,44552
"216","Bon Homme, SD",42.9662,-97.8652,20.33,47665
"217","Bond, IL",38.8833,-89.4467,21.74,44653
"218","Bonner, ID",48.3729,-116.5425,26.64,49868
"219","Bonneville, ID",43.3324,-111.4337,30.89,58430
"220","Boone, AR",36.303,-93.0935,17.81,42642
"221","Boone, IA",42.037,-93.9317,25.44,54521
"222","Boone, IL",42.3251,-88.823,24.18,54496
"223","Boone, IN",40.0509,-86.4686,50.83,84985
"224","Boone, KY",38.9622,-84.721,32.19,56759
"225","Boone, MO",38.9469,-92.3414,47.71,54522
"226","Boone, NE",41.6949,-98.0609,19.01,74085
"227","Boone, WV",37.9975,-81.7141,11.65,41910
"228","Borden, TX",32.7474,-101.4322,45.16,101470
"229","Bosque, TX",31.8982,-97.6486,18.53,50943
"230","Botetourt, VA",37.5543,-79.7551,26.9,57997
"231","Bottineau, ND",48.7699,-100.8398,25.06,69935
"232","Boulder, CO",40.088,-105.3448,62.97,89593
"233","Boundary, ID",48.7983,-116.4171,17.98,44200
"234","Bourbon, KS",37.8543,-94.8482,20.97,47885
"235","Bourbon, KY",38.2195,-84.2238,22.98,55087
"236","Bowie, TX",33.4761,-94.3949,21.89,47792
"237","Bowman, ND",46.1134,-103.5206,19.54,77069
"238","Box Butte, NE",42.2162,-103.094,17.74,55642
