"","county","lat","lon","bachelor_degree","per_capita_income"
"482","Christian, IL",39.5865,-89.2797,17.94,48831
"483","Christian, KY",36.9104,-87.4781,18.75,45643
"484","Christian, MO",36.955,-93.122,30.67,48509
"485","Churchill, NV",39.5395,-118.2919,18.75,54726
"486","Cibola, NM",34.9699,-107.7712,17.31,34627
"487","Cimarron, OK",36.7562,-102.5169,26.64,68769
"488","Citrus, FL",28.8593,-82.4374,18.9,45050
"489","Clackamas, OR",45.1741,-122.2447,37.99,71504
"490","Claiborne, MS",32.0085,-90.8996,20.66,37833
"491","Claiborne, TN",36.4668,-83.6559,17.4,42542
"492","Clallam, WA",48.13,-124.0838,28.84,54894
"493","Clare, MI",43.9892,-84.847,12.13,40710
"494","Clarendon, SC",33.6886,-80.2465,15.78,44874
"495","Clarion, PA",41.2028,-79.4375,22.98,49611
"496","Clark, AR",34.056,-93.1614,25.17,42664
"497","Clark, ID",44.2738,-112.3331,16.67,47973
"498","Clark, IL",39.323,-87.8036,21.84,51307
"499","Clark, IN",38.4373,-85.8012,20.72,51887
"500","Clark, KS",37.2305,-99.8179,30.43,59045
"501","Clark, KY",37.9696,-84.156,20.15,47411
"502","Clark, MO",40.4319,-91.7323,12.21,43325
"503","Clark, NV",35.933,-115.2601,25.16,58276
"504","Clark, OH",39.9034,-83.798,18.93,47929
"505","Clark, SD",44.8426,-97.7342,18.88,71383
"506","Clark, WA",45.8042,-122.52,31.34,63427
"507","Clark, WI",44.7321,-90.6192,13.45,50128
"508","Clarke, AL",31.5888,-87.8145,13.79,45232
"509","Clarke, GA",33.9437,-83.3976,45.35,40672
"510","Clarke, IA",41.0282,-93.7857,15.9,45292
"511","Clarke, MS",32.0179,-88.6852,12.89,43918
"512","Clarke, VA",39.1225,-77.9705,34.67,75403
"513","Clatsop, OR",46.0053,-123.6441,23.97,52250
"514","Clay, AL",33.2947,-85.8155,11.78,38705
"515","Clay, AR",36.3498,-90.4135,13.62,42999
"516","Clay, FL",29.9562,-81.8292,26.15,51885
"517","Clay, GA",31.6344,-85.0101,16.89,40439
"518","Clay, IA",43.0784,-95.1509,23.89,59187
"519","Clay, IL",38.7567,-88.4773,15.34,49656
"520","Clay, IN",39.3825,-87.091,16.54,44878
"521","Clay, KS",39.35,-97.1652,27.63,50592
"522","Clay, KY",37.1482,-83.7483,9.47,39099
"523","Clay, MN",46.8912,-96.4728,34.17,51260
"524","Clay, MO",39.2858,-94.4063,32.85,56118
"525","Clay, MS",33.6599,-88.7739,20.3,46228
"526","Clay, NC",35.0738,-83.7498,27.04,43300
"527","Clay, NE",40.5251,-98.0513,19.87,63915
"528","Clay, SD",42.888,-96.9833,48.91,47288
"529","Clay, TN",36.5157,-85.5343,12.99,40338
"530","Clay, TX",33.81,-98.2007,23.62,51938
"531","Clay, WV",38.4672,-81.0583,10.28,39788
"532","Clayton, GA",33.5008,-84.352,19.15,36056
"533","Clayton, IA",42.8621,-91.3526,17.06,59656
"534","Clear Creek, CO",39.709,-105.66,50.85,77242
"535","Clearfield, PA",40.9898,-78.444,16.78,52478
"536","Clearwater, ID",46.5961,-115.6489,17.26,41834
"537","Clearwater, MN",47.5919,-95.3691,17.59,54687
"538","Cleburne, AL",33.7164,-85.4945,16.02,42836
"539","Cleburne, AR",35.536,-92.0212,16.73,45289
"540","Clermont, OH",39.0193,-84.1685,28.87,64895
"541","Cleveland, AR",33.8844,-92.184,15.9,49569
"542","Cleveland, NC",35.3743,-81.5594,19.5,45544
"543","Cleveland, OK",35.152,-97.2848,34.27,49946
"544","Clinch, GA",30.8844,-82.7311,10.83,42450
"545","Clinton, IA",41.8816,-90.5324,19.29,52308
"546","Clinton, IL",38.5805,-89.4237,21.7,56536
"547","Clinton, IN",40.3086,-86.4691,14.64,45305
"548","Clinton, KY",36.7537,-85.1245,12.32,44613
"549","Clinton, MI",42.942,-84.6016,32.1,54719
"550","Clinton, MO",39.6007,-94.4041,21.96,48730
"551","Clinton, NY",44.7224,-73.6768,24.42,50625
"552","Clinton, OH",39.3883,-83.792,20.03,52090
"553","Clinton, PA",41.2215,-77.6231,19.56,49312
"554","Cloud, KS",39.469,-97.6492,24,47195
"555","Coahoma, MS",34.2547,-90.6431,17.73,44714
"556","Coal, OK",34.5929,-96.3021,17.27,44170
"557","Cobb, GA",33.9125,-84.585,48.44,67616
"558","Cochise, AZ",31.8901,-109.7497,25.55,49096
"559","Cochran, TX",33.6054,-102.8284,8.24,62305
"560","Cocke, TN",35.9497,-83.0951,11.3,40384
"561","Coconino, AZ",35.6465,-112.0424,37.63,56914
"562","Codington, SD",44.9775,-97.1883,20.01,59387
"563","Coffee, AL",31.399,-85.993,21.73,49196
"564","Coffee, GA",31.5867,-82.8437,12.17,40209
"565","Coffee, TN",35.4971,-86.0606,21.17,46299
"566","Coffey, KS",38.2295,-95.7381,23.62,58867
"567","Coke, TX",31.8934,-100.5296,22.19,48804
"568","Colbert, AL",34.7368,-87.5953,17.37,44279
"569","Cole, MO",38.5307,-92.2447,35.55,54941
"570","Coleman, TX",31.7432,-99.4612,16.86,54822
"571","Coles, IL",39.5297,-88.2167,26.08,53596
"572","Colfax, NE",41.5601,-97.0793,14.92,54392
"573","Colfax, NM",36.608,-104.6914,21.42,47563
"574","Colleton, SC",32.8261,-80.6509,16.29,42481
"575","Collier, FL",26.1608,-81.3445,35.88,117984
"576","Collin, TX",33.1929,-96.5676,53.23,77006
"577","Collingsworth, TX",34.9674,-100.2701,22.32,54140
"578","Colorado, TX",29.6055,-96.5236,19.07,59219
"579","Colquitt, GA",31.1805,-83.77,13.67,40678
"580","Columbia, AR",33.2362,-93.2328,20.49,42785
"581","Columbia, FL",30.2096,-82.6264,14.9,43184
"582","Columbia, GA",33.5274,-82.2215,36.48,58242
"583","Columbia, NY",42.2448,-73.6407,33.67,65426
"584","Columbia, OR",45.9577,-123.0865,18.03,53573
"585","Columbia, PA",41.0429,-76.3977,24.33,50176
"586","Columbia, WA",46.3041,-117.9269,25.29,70579
"587","Columbia, WI",43.4614,-89.3035,24.15,60708
"588","Columbiana, OH",40.7609,-80.8031,14.54,45580
"589","Columbus, NC",34.215,-78.6198,12.89,44729
"590","Colusa, CA",39.1694,-122.2067,14.88,54511
"591","Comal, TX",29.8168,-98.2891,37.92,67063
"592","Comanche, KS",37.1882,-99.2727,17.27,54928
"593","Comanche, OK",34.6414,-98.4841,23.18,47650
"594","Comanche, TX",31.9702,-98.5993,20.13,50112
"595","Concho, TX",31.3218,-99.8577,13.19,38635
"596","Conecuh, AL",31.4682,-86.9508,13.83,41656
"597","Conejos, CO",37.1987,-106.1713,25.5,45961
"598","Contra Costa, CA",37.8886,-121.9129,43.33,99312
"599","Converse, WY",42.8966,-105.4856,19.68,69583
"600","Conway, AR",35.2674,-92.6763,17.72,46412
"601","Cook, GA",31.1889,-83.4296,15.7,39380
"602","Cook, IL",41.8129,-87.7536,39.98,73557
"603","Cook, MN",47.8562,-90.4756,45.17,59112
"604","Cooke, TX",33.6877,-97.2144,21.77,59800
"605","Cooper, MO",38.8709,-92.7894,22.35,47383
"606","Coos, NH",44.6987,-71.3169,19.67,52132
"607","Coos, OR",43.1398,-124.0606,19.91,55759
"608","Coosa, AL",32.9278,-86.2616,11.56,38275
"609","Copiah, MS",31.8678,-90.4268,16.8,39166
"610","Corson, SD",45.7135,-101.1566,16.13,38834
"611","Cortland, NY",42.6006,-76.0718,26.91,48617
"612","Coryell, TX",31.394,-97.8008,16.92,37476
"613","Coshocton, OH",40.3057,-81.9055,14.89,42403
"614","Costilla, CO",37.3277,-105.4554,23.88,43239
"615","Cottle, TX",34.0712,-100.2829,18.86,73613
"616","Cotton, OK",34.2753,-98.3742,15.13,51300
"617","Cottonwood, MN",44.0291,-95.1608,20.75,58229
"618","Covington, AL",31.2565,-86.4472,15.61,41458
"619","Covington, MS",31.6192,-89.578,14.7,45169
"620","Coweta, GA",33.3514,-84.7798,33.26,57721
"621","Cowley, KS",37.2332,-96.8375,22.74,44888
"622","Cowlitz, WA",46.1148,-122.6116,16.98,54550
"623","Craig, OK",36.7555,-95.2156,14.36,43958
"624","Craig, VA",37.4878,-80.1897,21.67,47457
"625","Craighead, AR",35.8474,-90.6602,27.1,45160
"626","Crane, TX",31.3689,-102.5403,13.31,54119
"627","Craven, NC",35.2382,-77.1841,24.95,54135
"628","Crawford, AR",35.5652,-94.242,18.22,40691
"629","Crawford, GA",32.6937,-83.9622,10.63,41063
"630","Crawford, IA",42.0372,-95.3818,15.14,51690
"631","Crawford, IL",39.016,-87.7586,16.54,52318
"632","Crawford, IN",38.2644,-86.4229,10.46,41854
"633","Crawford, KS",37.5054,-94.8526,29.49,45046
"634","Crawford, MI",44.679,-84.6107,19.13,44116
"635","Crawford, MO",37.9553,-91.3106,11.9,43192
"636","Crawford, OH",40.8562,-82.9186,15.33,45755
"637","Crawford, PA",41.6678,-80.0661,20.44,48431
"638","Crawford, WI",43.2104,-90.8849,18.94,49273
"639","Creek, OK",35.9083,-96.3245,16.05,47927
"640","Crenshaw, AL",31.7415,-86.2967,18.5,46038
"641","Crisp, GA",31.9167,-83.7665,13.66,45951
"642","Crittenden, AR",35.1383,-90.2329,17.45,45416
"643","Crittenden, KY",37.3369,-88.0854,13.64,43616
"644","Crockett, TN",35.8359,-89.1825,15.19,49729
"645","Crockett, TX",30.6879,-101.3732,9.67,57013
"646","Crook, OR",44.1294,-120.3221,18.84,50708
"647","Crook, WY",44.5882,-104.5708,24.06,51825
"648","Crosby, TX",33.6161,-101.3,14.87,52897
"649","Cross, AR",35.3175,-90.7719,14.69,42009
"650","Crow Wing, MN",46.4798,-94.0703,26.16,54260
"651","Crowley, CO",38.298,-103.7784,8.71,24314
"652","Culberson, TX",31.3019,-104.4978,16.45,71297
"653","Cullman, AL",34.0862,-86.9042,15.42,46061
"654","Culpeper, VA",38.5056,-78.0018,25.15,55336
"655","Cumberland, IL",39.2765,-88.2406,18.87,84035
"656","Cumberland, KY",36.7784,-85.408,14.92,51001
"657","Cumberland, ME",43.85,-70.4132,48.05,73972
"658","Cumberland, NC",35.051,-78.8717,25.61,46992
"659","Cumberland, NJ",39.3728,-75.124,16.62,47559
"660","Cumberland, PA",40.1368,-77.3185,37.43,63650
"661","Cumberland, TN",35.9474,-84.9777,17.5,44295
"662","Cumberland, VA",37.526,-78.2218,16.55,47040
"663","Cuming, NE",41.9158,-96.7875,23.06,71979
"664","Currituck, NC",36.3115,-75.9312,25.24,57320
"665","Curry, NM",34.6369,-103.3746,20.22,52015
"666","Curry, OR",42.4773,-124.2135,23.48,53044
"667","Custer, CO",38.0776,-105.3443,34.09,51271
"668","Custer, ID",44.228,-114.294,29.68,48619
"669","Custer, MT",46.3205,-105.5301,27.73,50535
"670","Custer, NE",41.3952,-99.7319,24.74,58544
"671","Custer, OK",35.6387,-99.0045,26.37,46226
"672","Custer, SD",43.6671,-103.4818,23.2,59756
"673","Cuyahoga, OH",41.4559,-81.6805,33.45,62790
"674","Dade, GA",34.8062,-85.5116,15.76,40579
"675","Dade, MO",37.4384,-93.85,13.82,42127
"676","Daggett, UT",40.8298,-109.6975,14.7,51672
"677","Dakota, MN",44.6986,-93.0252,42.57,67927
"678","Dakota, NE",42.4022,-96.5708,14.73,48756
"679","Dale, AL",31.4079,-85.6038,18.22,43916
"680","Dallam, TX",36.2673,-102.6022,17.01,70511
"681","Dallas, AL",32.3888,-87.1278,16.65,41850
"682","Dallas, AR",33.976,-92.7174,10.99,46261
"683","Dallas, IA",41.6806,-94.0474,50.46,73673
"684","Dallas, MO",37.6614,-93.012,11.36,38983
"685","Dallas, TX",32.7661,-96.7774,32.48,72218
"686","Dane, WI",43.073,-89.4247,52.42,71062
"687","Daniels, MT",48.7726,-105.5298,23.07,57661
"688","Dare, NC",35.7741,-75.8627,38.35,68887
"689","Darke, OH",40.1341,-84.6194,15.41,51549
"690","Darlington, SC",34.3107,-79.913,17.61,47845
"691","Dauphin, PA",40.3906,-76.8372,32.3,58741
"692","Davidson, NC",35.7656,-80.2531,18.92,48086
"693","Davidson, TN",36.1844,-86.7808,43.33,82087
"694","Davie, NC",35.9021,-80.5375,24.29,57591
"695","Daviess, IN",38.6977,-87.0972,12.81,53008
"696","Daviess, KY",37.7459,-87.0688,24.37,50079
"697","Daviess, MO",39.9617,-93.9832,20.76,37739
"698","Davis, IA",40.7369,-92.4085,18.65,44337
"699","Davis, UT",40.9641,-112.0929,38.17,54820
"700","Davison, SD",43.6763,-98.1462,26.03,59258
"701","Dawes, NE",42.7214,-103.1269,38.22,47375
"702","Dawson, GA",34.4804,-84.2231,33.65,53996
"703","Dawson, MT",47.3283,-104.9234,24.9,47459
"704","Dawson, NE",40.8658,-99.8251,16.66,49653
"705","Dawson, TX",32.737,-101.9478,14.46,46139
"706","Day, SD",45.3724,-97.6037,22.08,65558
"707","De Baca, NM",34.3886,-104.4205,13.28,56384
"708","De Witt, IL",40.1762,-88.9037,20.38,57473
"709","Deaf Smith, TX",34.9635,-102.6051,12,60615
"710","Dearborn, IN",39.1215,-84.9602,25.71,55782
"711","Decatur, GA",30.8823,-84.5722,14.04,41331
"712","Decatur, IA",40.7401,-93.786,26.51,42171
"713","Decatur, IN",39.2866,-85.4915,19.54,53393
"714","Decatur, KS",39.7845,-100.4603,20.24,58270
"715","Decatur, TN",35.6152,-88.1124,14.32,48912
"716","Deer Lodge, MT",46.0131,-113.0994,19.97,46384
"717","Defiance, OH",41.2973,-84.5157,18.45,47933
"718","DeKalb, AL",34.5306,-85.7226,13.98,40026
"719","DeKalb, GA",33.7931,-84.22,45.59,61861
"720","DeKalb, IL",41.8825,-88.7714,32.38,51571
"721","DeKalb, IN",41.4015,-84.9986,18,51961
"722","DeKalb, MO",39.8962,-94.4047,15.79,38366
"723","DeKalb, TN",35.977,-85.8391,18.93,47634
"724","Del Norte, CA",41.6916,-123.9049,15.39,43951
"725","Delaware, IA",42.471,-91.3709,17.43,57097
"726","Delaware, IN",40.2284,-85.3965,24.89,45325
"727","Delaware, NY",42.1831,-74.9537,22.12,48644
"728","Delaware, OH",40.2856,-82.9997,55.53,83603
"729","Delaware, OK",36.4176,-94.8052,18.15,40950
"730","Delaware, PA",39.9362,-75.3767,39.49,77180
"731","Delta, CO",38.9419,-107.804,21.73,46042
"732","Delta, MI",45.8554,-87.1712,19.24,46524
"733","Delta, TX",33.357,-95.7245,21.61,47471
"734","Denali Borough, AK",63.5543,-149.9189,39.12,107916
"735","Dent, MO",37.6036,-91.4819,14.92,41420
"736","Denton, TX",33.2078,-97.1156,45.76,68773
"737","Denver, CO",39.7644,-104.9549,50.32,99133
"738","Des Moines, IA",40.885,-91.1962,19.84,56425
"739","Deschutes, OR",44.0035,-121.4056,37.18,67743
"740","Desha, AR",33.8197,-91.3035,14.01,48464
"741","DeSoto, FL",27.1854,-81.8097,12.16,32873
"742","DeSoto, MS",34.8543,-89.963,24.85,50982
"743","Deuel, NE",41.1098,-102.3332,20.74,46093
"744","Deuel, SD",44.7615,-96.668,22.71,62580
"745","Dewey, OK",35.9926,-99.0086,20.86,53807
"746","Dewey, SD",45.1005,-100.9055,17.2,54255
"747","DeWitt, TX",29.0996,-97.3051,12.21,66916
"748","Dickens, TX",33.6166,-100.7789,18.61,50869
"749","Dickenson, VA",37.1314,-82.361,11.36,41437
"750","Dickey, ND",46.1117,-98.5056,27.7,73312
"751","Dickinson, IA",43.3759,-95.1509,32.22,69628
"752","Dickinson, KS",38.8729,-97.1495,24.29,49255
"753","Dickinson, MI",45.9809,-87.8673,24.41,55335
"754","Dickson, TN",36.1462,-87.3611,17.15,50218
"755","Dillingham Census Area, AK",59.7435,-158.1036,19.4,61572
"756","Dillon, SC",34.4306,-79.3928,12.95,39567
"757","Dimmit, TX",28.4132,-99.7548,14.85,55771
"758","Divide, ND",48.8178,-103.4942,16.21,66208
"759","Dixie, FL",29.5671,-83.1715,9.54,33813
"760","Dixon, NE",42.5131,-96.8689,22.52,54144
"761","Doddridge, WV",39.2712,-80.7484,16.56,37685
"762","Dodge, GA",32.1735,-83.1512,15.28,37268
"763","Dodge, MN",44.0246,-92.8619,27.43,56410
"764","Dodge, NE",41.5688,-96.6751,19.75,56298
"765","Dodge, WI",43.413,-88.7032,17.99,51287
"766","Dolores, CO",37.6906,-108.5063,26.11,39481
"767","Doniphan, KS",39.8103,-95.108,20.47,48727
"768","Donley, TX",34.9669,-100.8141,18.09,50574
"769","Dooly, GA",32.1604,-83.8203,12.95,43689
"770","Door, WI",44.9881,-87.267,34.71,68172
"771","Dorchester, MD",38.461,-76.0567,19.87,54075
"772","Dorchester, SC",33.0758,-80.424,28.21,46857
"773","Dougherty, GA",31.5429,-84.2219,22.16,44575
"774","Douglas, CO",39.3483,-104.9202,58.61,87841
"775","Douglas, GA",33.69,-84.7665,28.14,44779
"776","Douglas, IL",39.7637,-88.2205,20.05,60587
"777","Douglas, KS",38.8991,-95.2782,51.24,51703
"778","Douglas, MN",45.9337,-95.4525,27.16,59909
"779","Douglas, MO",36.9281,-92.4991,13.04,37992
"780","Douglas, NE",41.2919,-96.1502,40.2,68699
"781","Douglas, NV",38.8267,-119.5856,31.85,87214
"782","Douglas, OR",43.324,-122.8891,18.46,50595
"783","Douglas, SD",43.3497,-98.3573,18.19,67626
"784","Douglas, WA",47.6869,-119.7491,20.61,49290
"785","Douglas, WI",46.4537,-91.9223,25.79,49872
"786","Drew, AR",33.5851,-91.7146,22.64,45391
"787","Dubois, IN",38.3651,-86.8769,25.54,60954
"788","Dubuque, IA",42.485,-90.8953,31.37,56782
"789","Duchesne, UT",40.3319,-110.4366,13.72,42903
"790","Dukes, MA",41.3918,-70.6209,44.03,86341
"791","Dundy, NE",40.1776,-101.6884,28.07,93788
"792","Dunklin, MO",36.3139,-90.0156,13.86,43809
"793","Dunn, ND",47.4051,-102.6524,19.11,80976
"794","Dunn, WI",44.9461,-91.8932,29.68,47673
"795","DuPage, IL",41.8389,-88.091,50.3,85498
"796","Duplin, NC",34.951,-77.9078,14.56,51968
"797","Durham, NC",36.0511,-78.8681,49.46,60330
"798","Dutchess, NY",41.7622,-73.728,36.41,67256
"799","Duval, FL",30.3866,-81.7798,30.69,54354
"800","Duval, TX",27.6613,-98.5174,9.16,51887
"801","Dyer, TN",36.0492,-89.4236,18.58,51559
"802","Eagle, CO",39.6378,-106.6461,50.49,97255
"803","Early, GA",31.2959,-84.8656,13.72,43650
"804","Eastland, TX",32.2936,-98.8015,19.24,66400
"805","Eaton, MI",42.5931,-84.8387,29.16,50743
"806","Eau Claire, WI",44.7306,-91.286,33.26,55693
"807","Echols, GA",30.732,-82.9459,7.83,36062
"808","Ector, TX",31.8599,-102.5429,16.61,53610
"809","Eddy, ND",47.7184,-98.9114,22.32,72571
"810","Eddy, NM",32.4808,-104.2872,17.17,62888
"811","Edgar, IL",39.6827,-87.7497,17.98,54641
"812","Edgecombe, NC",35.9136,-77.578,16.2,45069
"813","Edgefield, SC",33.7548,-81.9474,17.95,45299
"814","Edmonson, KY",37.2033,-86.233,10.44,41099
"815","Edmunds, SD",45.3854,-99.2152,25.88,77988
"816","Edwards, IL",38.4138,-88.0564,13.33,51628
"817","Edwards, KS",37.9097,-99.2959,20.06,68555
"818","Edwards, TX",29.9663,-100.3478,18.22,73981
"819","Effingham, GA",32.346,-81.3226,23.93,48212
"820","Effingham, IL",39.0658,-88.5834,23.19,61218
"821","El Dorado, CA",38.7852,-120.5254,35.24,78525
"822","El Paso, CO",38.8296,-104.5628,38.71,58627
"823","El Paso, TX",31.6952,-106.1718,24.03,44064
"824","Elbert, CO",39.2151,-104.189,34.15,70961
"825","Elbert, GA",34.1232,-82.8596,11.77,41104
"826","Elk, KS",37.4531,-96.2441,17.51,47485
"827","Elk, PA",41.4107,-78.757,19.18,51653
"828","Elkhart, IN",41.5984,-85.8585,19.55,55007
"829","Elko, NV",41.0619,-115.5301,16.85,52754
"830","Elliott, KY",38.1318,-83.0627,9.29,29572
"831","Ellis, KS",38.9163,-99.3172,38,53348
"832","Ellis, OK",36.2174,-99.7981,20.29,57564
"833","Ellis, TX",32.3014,-96.7619,25.28,53393
"834","Ellsworth, KS",38.6895,-98.2026,23.72,47749
"835","Elmore, AL",32.5877,-86.1519,25.82,47381
"836","Elmore, ID",43.4545,-115.5288,20.74,41884
"837","Emanuel, GA",32.5672,-82.3078,11.39,40614
"838","Emery, UT",39.1047,-110.7079,15.78,40871
"839","Emmet, IA",43.3757,-94.6784,18.63,51890
"840","Emmet, MI",45.5315,-84.9213,34.75,66826
"841","Emmons, ND",46.2896,-100.2458,19.38,72883
"842","Erath, TX",32.214,-98.2274,32.97,46906
"843","Erie, NY",42.7691,-78.6668,35.11,57625
"844","Erie, OH",41.3813,-82.671,24.9,58239
"845","Erie, PA",42.0598,-80.0158,28.71,52747
"846","Escambia, AL",31.1268,-87.158,12.5,39363
"847","Escambia, FL",30.6538,-87.3304,27.2,51808
"848","Esmeralda, NV",37.7289,-117.681,16.84,55007
"849","Essex, MA",42.6513,-71.0076,40.65,78093
"850","Essex, NJ",40.7945,-74.2539,36.25,74310
"851","Essex, NY",44.1475,-73.7487,29.83,54109
"852","Essex, VA",37.9457,-76.9732,16.22,51780
"853","Essex, VT",44.6823,-71.7338,18.44,48120
"854","Estill, KY",37.6982,-83.9308,11.53,40235
"855","Etowah, AL",34.0211,-86.0433,17.7,42558
"856","Eureka, NV",40.0869,-116.2172,11.67,49606
"857","Evans, GA",32.1637,-81.8891,16.13,39404
"858","Fairbanks North Star Borough, AK",64.8624,-146.3565,32.33,65314
"859","Fairfield, CT",41.3271,-73.3274,48.91,127391
"860","Fairfield, OH",39.7574,-82.6153,28.99,55185
"861","Fairfield, SC",34.3737,-81.0779,17.79,48634
"862","Fall River, SD",43.2398,-103.5275,19.7,51225
"863","Fallon, MT",46.2947,-104.4655,15.58,49165
"864","Falls, TX",31.2537,-96.9393,12.42,43658
"865","Fannin, GA",34.7944,-84.1995,22.09,46163
"866","Fannin, TX",33.6132,-96.1193,17.94,46449
"867","Faribault, MN",43.6808,-93.9481,19.8,54496
"868","Faulk, SD",45.0748,-99.1452,28.58,80152
"869","Faulkner, AR",35.1076,-92.3337,32.09,45841
"870","Fauquier, VA",38.7121,-77.8162,36.68,78810
"871","Fayette, AL",33.7201,-87.7385,12.29,41672
"872","Fayette, GA",33.4038,-84.5001,46.76,73202
"873","Fayette, IA",42.8639,-91.8442,18.27,51226
"874","Fayette, IL",38.98,-89.0318,12.36,44763
"875","Fayette, IN",39.6562,-85.1677,14.78,47588
"876","Fayette, KY",38.0282,-84.4715,44.98,59987
"877","Fayette, OH",39.5464,-83.4341,15.24,47851
"878","Fayette, PA",39.9324,-79.6546,17.67,51007
"879","Fayette, TN",35.2022,-89.4141,22.49,68153
"880","Fayette, TX",29.8921,-96.9151,22.34,65339
"881","Fayette, WV",38.0418,-81.0963,15.24,44136
"882","Fentress, TN",36.3575,-84.9266,16.64,40402
"883","Fergus, MT",47.2602,-109.3598,27.2,46685
"884","Ferry, WA",48.4175,-118.5235,21.21,46847
"885","Fillmore, MN",43.6761,-92.0901,22.49,51972
"886","Fillmore, NE",40.5318,-97.5965,22.42,68697
"887","Finney, KS",38.0013,-100.8836,17.73,47523
"888","Fisher, TX",32.7425,-100.4024,20.31,57245
"889","Flagler, FL",29.4662,-81.3097,25.6,56336
"890","Flathead, MT",48.303,-114.0979,32,58964
"891","Fleming, KY",38.3482,-83.6784,15.31,41490
"892","Florence, SC",34.0421,-79.7528,24.17,51554
"893","Florence, WI",45.8674,-88.3756,21.32,64600
"894","Floyd, GA",34.335,-85.194,21.37,44803
"895","Floyd, IA",43.0597,-92.7887,19.59,56044
"896","Floyd, IN",38.2987,-85.8932,30.13,62578
"897","Floyd, KY",37.5213,-82.7592,11.88,44198
"898","Floyd, TX",34.069,-101.303,15.68,53292
"899","Floyd, VA",36.9111,-80.4084,21.69,47376
"900","Fluvanna, VA",37.8456,-78.2738,35.6,53612
"901","Foard, TX",33.9777,-99.7617,12.77,61279
"902","Fond du Lac, WI",43.7377,-88.5229,23.88,56378
"903","Ford, IL",40.6977,-88.1805,21.63,62180
"904","Ford, KS",37.6805,-99.8868,17.02,47052
"905","Forest, PA",41.4862,-79.2354,9.56,29573
"906","Forest, WI",45.729,-88.8616,15.2,46139
"907","Forrest, MS",31.1689,-89.2472,27.72,42853
"908","Forsyth, GA",34.193,-84.1509,54.84,73337
"909","Forsyth, NC",36.1176,-80.2522,33.93,56378
"910","Fort Bend, TX",29.5257,-95.746,46.47,65797
"911","Foster, ND",47.457,-98.8831,25.25,75732
"912","Fountain, IN",40.1604,-87.2644,13.99,48583
"913","Franklin, AL",34.4509,-87.844,15.05,40810
"914","Franklin, AR",35.4872,-93.8748,11.28,40591
"915","Franklin, FL",29.8538,-84.8366,20.43,41878
"916","Franklin, GA",34.3836,-83.2429,17.14,39616
"917","Franklin, IA",42.7302,-93.2624,18.62,59466
"918","Franklin, ID",42.2148,-111.8462,17.12,43472
"919","Franklin, IL",37.9944,-88.9238,17.01,45473
"920","Franklin, IN",39.3971,-85.0571,20.44,54451
"921","Franklin, KS",38.561,-95.2869,20.12,49652
"922","Franklin, KY",38.2397,-84.8667,30.74,49985
"923","Franklin, MA",42.519,-72.5621,38.28,63366
"924","Franklin, ME",45.0569,-70.4637,26.31,47206
"925","Franklin, MO",38.4568,-91.052,21.27,51952
"926","Franklin, MS",31.4651,-90.8943,12.56,40443
"927","Franklin, NC",36.0416,-78.3303,21.16,44996
"928","Franklin, NE",40.18,-98.9526,18.28,68092
"929","Franklin, NY",44.5612,-74.2572,20.71,48658
"930","Franklin, OH",39.9693,-83.013,40.36,58689
"931","Franklin, PA",40.0059,-77.7068,22.23,55139
"932","Franklin, TN",35.1755,-86.0823,20.79,45975
"933","Franklin, TX",33.179,-95.2164,30.29,51926
"934","Franklin, VA",37.0076,-79.8606,22.73,50264
"935","Franklin, VT",44.8257,-72.8735,26.51,54756
"936","Franklin, WA",46.4669,-118.9422,18.95,45937
"937","Frederick, MD",39.4703,-77.3679,41.68,68704
"938","Freeborn, MN",43.6801,-93.3489,17.04,53790
"939","Freestone, TX",31.7139,-96.1581,14.77,44014
"940","Fremont, CO",38.4842,-105.4521,18.49,41017
"941","Fremont, IA",40.7414,-95.6361,18.84,59090
"942","Fremont, WY",43.1414,-108.5719,24.81,51452
"943","Fresno, CA",36.7515,-119.6373,22.03,51422
"944","Frio, TX",28.8624,-99.1075,8.2,39898
"945","Frontier, NE",40.532,-100.3823,22.96,55020
"946","Fulton, AR",36.3698,-91.8038,13.15,34900
"947","Fulton, GA",33.845,-84.4039,54.51,102074
"948","Fulton, IL",40.4504,-90.1768,18.31,46395
"949","Fulton, IN",41.041,-86.2066,14.54,49205
"950","Fulton, KY",36.5746,-89.0626,13.35,41650
"951","Fulton, NY",43.1354,-74.427,18.22,51558
"952","Fulton, OH",41.6027,-84.1318,17.05,52995
"953","Fulton, PA",39.9433,-78.0937,14.95,49929
"954","Furnas, NE",40.193,-99.9124,19.03,59961
"955","Gadsden, FL",30.5501,-84.6353,18.17,44832
"956","Gage, NE",40.2659,-96.69,20.75,57838
"957","Gaines, TX",32.7355,-102.6352,10.45,50616
"958","Gallatin, IL",37.7452,-88.2157,11.55,53962
"959","Gallatin, KY",38.7594,-84.9018,9.59,42255
"960","Gallatin, MT",45.3376,-111.2056,51.57,70276
"961","Gallia, OH",38.8091,-82.3889,17.39,47674
"962","Galveston, TX",29.3824,-95.0331,32.12,60071
"963","Garden, NE",41.6187,-102.311,23.14,57475
"964","Garfield, CO",39.7184,-107.5261,31.95,67123
"965","Garfield, MT",47.4172,-107.1049,20.92,37365
"966","Garfield, NE",41.9211,-98.9916,29.35,54771
