"","county","FIPS","state","bachelor_degree","per_capita_income"
"90","Atascosa, TX",48013,"TX",15.31,46737
"91","Atchison, KS",20005,"KS",20.79,44710
"92","Atchison, MO",29005,"MO",22.7,54179
"93","Athens, OH",39009,"OH",31.81,40663
"94","Atkinson, GA",13003,"GA",12.24,35527
"95","Atlantic, NJ",34001,"NJ",28.78,58310
"96","Atoka, OK",40005,"OK",16.36,36195
"97","Attala, MS",28007,"MS",15.19,42044
"98","Audrain, MO",29007,"MO",14.31,44319
"99","Audubon, IA",19009,"IA",18.79,62773
"100","Auglaize, OH",39011,"OH",19.17,54964
"101","Aurora, SD",46003,"SD",20.32,54512
"102","Austin, TX",48015,"TX",22.95,58284
"103","Autauga, AL",1001,"AL",28.32,48347
"104","Avery, NC",37011,"NC",23.66,43022
"105","Baca, CO",8009,"CO",21.95,52905
"106","Bacon, GA",13005,"GA",9.29,39471
"107","Bailey, TX",48017,"TX",17.38,51709
"108","Baker, FL",12003,"FL",14.36,40735
"109","Baker, GA",13007,"GA",21.38,51216
"110","Baker, OR",41001,"OR",25,48107
"111","Baldwin, AL",1003,"AL",31.91,54659
"112","Baldwin, GA",13009,"GA",24.34,40542
"113","Ballard, KY",21007,"KY",15.74,50888
"114","Baltimore, MD",24005,"MD",39.75,69561
"115","Bamberg, SC",45009,"SC",18.14,41081
"116","Bandera, TX",48019,"TX",22.42,58706
"117","Banks, GA",13011,"GA",15.75,43766
"118","Banner, NE",31007,"NE",26.67,68909
"119","Bannock, ID",16005,"ID",26.99,45443
"120","Baraga, MI",26013,"MI",15.16,41772
"121","Barber, KS",20007,"KS",20.59,56193
"122","Barbour, AL",1005,"AL",11.61,40428
"123","Barbour, WV",54001,"WV",13.9,40576
"124","Barnes, ND",38003,"ND",30.44,66463
"125","Barnstable, MA",25001,"MA",45.01,83191
"126","Barnwell, SC",45011,"SC",14.65,41828
"127","Barren, KY",21009,"KY",16.22,43678
"128","Barron, WI",55005,"WI",20.64,56898
"129","Barrow, GA",13013,"GA",20.19,44534
"130","Barry, MI",26015,"MI",23.01,52951
"131","Barry, MO",29009,"MO",15.04,41248
"132","Bartholomew, IN",18005,"IN",33.95,61136
"133","Barton, KS",20009,"KS",21.31,53532
"134","Barton, MO",29011,"MO",18.84,42329
"135","Bartow, GA",13015,"GA",19.79,47162
"136","Bastrop, TX",48021,"TX",21.54,44230
"137","Bates, MO",29013,"MO",14.79,46821
"138","Bath, KY",21011,"KY",15.47,37710
"139","Bath, VA",51017,"VA",17.4,72157
"140","Baxter, AR",5005,"AR",17.75,43479
"141","Bay, FL",12005,"FL",24.48,53980
"142","Bay, MI",26017,"MI",19.67,50396
"143","Bayfield, WI",55007,"WI",32.07,53902
"144","Baylor, TX",48023,"TX",20.97,58779
"145","Beadle, SD",46005,"SD",23.46,55409
"146","Bear Lake, ID",16007,"ID",18.29,45385
"147","Beaufort, NC",37013,"NC",20.71,54165
"148","Beaufort, SC",45013,"SC",42.04,70166
"149","Beaver, OK",40007,"OK",23.3,65668
"150","Beaver, PA",42007,"PA",25.54,56452
"151","Beaver, UT",49001,"UT",25.81,46960
"152","Beaverhead, MT",30001,"MT",32.52,54430
"153","Becker, MN",27005,"MN",25.7,56147
"154","Beckham, OK",40009,"OK",16.67,40147
"155","Bedford, PA",42009,"PA",15.89,49916
"156","Bedford, TN",47003,"TN",18.14,46083
"157","Bedford, VA",51019,"VA",30.85,53861
"158","Bee, TX",48025,"TX",10.78,34738
"159","Belknap, NH",33001,"NH",31.7,71958
"160","Bell, KY",21013,"KY",9.49,41763
"161","Bell, TX",48027,"TX",25.33,49405
"162","Belmont, OH",39013,"OH",16.16,45375
"163","Beltrami, MN",27007,"MN",29.93,50833
"164","Ben Hill, GA",13017,"GA",10.97,38640
"165","Benewah, ID",16009,"ID",17.91,43922
"166","Bennett, SD",46007,"SD",22.4,46894
"167","Bennington, VT",50003,"VT",37.48,61287
"168","Benson, ND",38005,"ND",17.19,55282
"169","Bent, CO",8011,"CO",15.14,32716
"170","Benton, AR",5007,"AR",34.57,91687
"171","Benton, IA",19011,"IA",20.44,63072
"172","Benton, IN",18007,"IN",18.39,53602
"173","Benton, MN",27009,"MN",23.13,53214
"174","Benton, MO",29015,"MO",14.66,43097
"175","Benton, MS",28009,"MS",10.12,41767
"176","Benton, OR",41003,"OR",53.27,54174
"177","Benton, TN",47005,"TN",12.84,40963
"178","Benton, WA",53005,"WA",31.59,54958
"179","Benzie, MI",26019,"MI",32.47,54684
"180","Bergen, NJ",34003,"NJ",50.67,97343
"181","Berkeley, SC",45015,"SC",25.38,48919
"182","Berkeley, WV",54003,"WV",22.81,49759
"183","Berks, PA",42011,"PA",25.91,57970
"184","Berkshire, MA",25003,"MA",35.31,65050
"185","Bernalillo, NM",35001,"NM",35.28,53616
"186","Berrien, GA",13019,"GA",13.18,39945
"187","Berrien, MI",26021,"MI",27.55,59656
"188","Bertie, NC",37015,"NC",14.51,48377
"189","Bethel Census Area, AK",2050,"AK",11.33,48189
"190","Bexar, TX",48029,"TX",28.47,51780
"191","Bibb, AL",1007,"AL",11.35,36892
"192","Bibb, GA",13021,"GA",25.31,46781
"193","Big Horn, MT",30003,"MT",18.58,36517
"194","Big Horn, WY",56003,"WY",20.07,47259
"195","Big Stone, MN",27011,"MN",18.16,64816
"196","Billings, ND",38007,"ND",26.22,92571
"197","Bingham, ID",16011,"ID",20.49,42774
"198","Black Hawk, IA",19013,"IA",29.2,51911
"199","Blackford, IN",18009,"IN",13.7,44325
"200","Bladen, NC",37017,"NC",18.17,47567
"201","Blaine, ID",16013,"ID",39.31,134722
"202","Blaine, MT",30005,"MT",24.5,34095
"203","Blaine, NE",31009,"NE",23.14,62594
"204","Blaine, OK",40011,"OK",19.39,53081
"205","Blair, PA",42013,"PA",22.27,54470
"206","Blanco, TX",48031,"TX",28.15,66088
"207","Bland, VA",51021,"VA",13.4,42820
"208","Bleckley, GA",13023,"GA",17.95,41298
"209","Bledsoe, TN",47007,"TN",11.42,33675
"210","Blount, AL",1009,"AL",13.25,42634
"211","Blount, TN",47009,"TN",24.62,52596
"212","Blue Earth, MN",27013,"MN",34.55,51834
"213","Boise, ID",16015,"ID",28.4,53198
"214","Bolivar, MS",28011,"MS",25.38,46512
"215","Bollinger, MO",29017,"MO",10.77,44552
"216","Bon Homme, SD",46009,"SD",20.33,47665
"217","Bond, IL",17005,"IL",21.74,44653
"218","Bonner, ID",16017,"ID",26.64,49868
"219","Bonneville, ID",16019,"ID",30.89,58430
"220","Boone, AR",5009,"AR",17.81,42642
"221","Boone, IA",19015,"IA",25.44,54521
"222","Boone, IL",17007,"IL",24.18,54496
"223","Boone, IN",18011,"IN",50.83,84985
"224","Boone, KY",21015,"KY",32.19,56759
"225","Boone, MO",29019,"MO",47.71,54522
"226","Boone, NE",31011,"NE",19.01,74085
"227","Boone, WV",54005,"WV",11.65,41910
"228","Borden, TX",48033,"TX",45.16,101470
"229","Bosque, TX",48035,"TX",18.53,50943
"230","Botetourt, VA",51023,"VA",26.9,57997
"231","Bottineau, ND",38009,"ND",25.06,69935
"232","Boulder, CO",8013,"CO",62.97,89593
"233","Boundary, ID",16021,"ID",17.98,44200
"234","Bourbon, KS",20011,"KS",20.97,47885
"235","Bourbon, KY",21017,"KY",22.98,55087
"236","Bowie, TX",48037,"TX",21.89,47792
"237","Bowman, ND",38011,"ND",19.54,77069
"238","Box Butte, NE",31013,"NE",17.74,55642
"239","Box Elder, UT",49003,"UT",23.7,45456
"240","Boyd, KY",21019,"KY",20.19,46039
"241","Boyd, NE",31015,"NE",18.27,74685
"242","Boyle, KY",21021,"KY",25.84,46181
"243","Bracken, KY",21023,"KY",12.5,44913
"244","Bradford, FL",12007,"FL",10.28,39748
"245","Bradford, PA",42015,"PA",18.67,49063
"246","Bradley, AR",5011,"AR",13.83,46734
"247","Bradley, TN",47011,"TN",23.49,46409
"248","Branch, MI",26023,"MI",15,45325
"249","Brantley, GA",13025,"GA",6.86,35435
"250","Braxton, WV",54007,"WV",14.04,41547
"251","Brazoria, TX",48039,"TX",31.09,56360
"252","Brazos, TX",48041,"TX",41.41,46702
"253","Breathitt, KY",21025,"KY",16.06,39754
"254","Breckinridge, KY",21027,"KY",14.42,42724
"255","Bremer, IA",19017,"IA",33.01,57876
"256","Brevard, FL",12009,"FL",30.91,55477
"257","Brewster, TX",48043,"TX",40.76,53014
"258","Briscoe, TX",48045,"TX",17.5,58862
"259","Bristol Bay Borough, AK",2060,"AK",25.85,155155
"260","Bristol, MA",25005,"MA",29.18,64924
"261","Bristol, RI",44001,"RI",49.18,87810
"262","Broadwater, MT",30007,"MT",27.17,47541
"263","Bronx, NY",36005,"NY",20.31,46834
"264","Brooke, WV",54009,"WV",20.16,50271
"265","Brookings, SD",46011,"SD",42.25,53860
"266","Brooks, GA",13027,"GA",16.49,40982
"267","Brooks, TX",48047,"TX",16.39,43437
"268","Broome, NY",36007,"NY",28.8,50657
"269","Broomfield, CO",8014,"CO",56.06,73678
"270","Broward, FL",12011,"FL",33.12,64453
"271","Brown, IL",17009,"IL",12.84,44740
"272","Brown, IN",18013,"IN",29.34,55345
"273","Brown, KS",20013,"KS",19.15,51906
"274","Brown, MN",27015,"MN",22.62,60615
"275","Brown, NE",31017,"NE",24.21,63598
"276","Brown, OH",39015,"OH",14.31,45795
"277","Brown, SD",46013,"SD",31.71,66044
"278","Brown, TX",48049,"TX",20.1,46028
"279","Brown, WI",55009,"WI",30.33,59279
"280","Brule, SD",46015,"SD",26.5,59267
"281","Brunswick, NC",37019,"NC",29.47,55361
"282","Brunswick, VA",51025,"VA",14.84,40151
"283","Bryan, GA",13029,"GA",32.96,54772
"284","Bryan, OK",40013,"OK",22.64,43871
"285","Buchanan, IA",19019,"IA",22.09,57200
"286","Buchanan, MO",29021,"MO",21.88,46362
"287","Buchanan, VA",51027,"VA",11.79,44003
"288","Buckingham, VA",51029,"VA",12.65,37220
"289","Bucks, PA",42017,"PA",42.23,83011
"290","Buena Vista, IA",19021,"IA",20.8,49006
"291","Buffalo, NE",31019,"NE",33.76,61763
"292","Buffalo, SD",46017,"SD",8.07,32773
"293","Buffalo, WI",55011,"WI",19.14,53031
"294","Bullitt, KY",21029,"KY",15.66,50169
"295","Bulloch, GA",13031,"GA",27.61,37901
"296","Bullock, AL",1011,"AL",10.27,33267
"297","Buncombe, NC",37021,"NC",41.39,57895
"298","Bureau, IL",17011,"IL",20.69,51269
"299","Burke, GA",13033,"GA",14.47,41870
"300","Burke, NC",37023,"NC",16.74,44798
"301","Burke, ND",38013,"ND",21.65,72515
"302","Burleigh, ND",38015,"ND",36.53,66017
"303","Burleson, TX",48051,"TX",21.28,57482
"304","Burlington, NJ",34005,"NJ",38.46,69496
"305","Burnet, TX",48053,"TX",26.75,59381
"306","Burnett, WI",55013,"WI",21.07,49108
"307","Burt, NE",31021,"NE",22.33,56557
"308","Butler, AL",1013,"AL",15.96,46050
"309","Butler, IA",19023,"IA",18.16,57604
"310","Butler, KS",20015,"KS",30.44,51643
"311","Butler, KY",21031,"KY",13.95,43937
"312","Butler, MO",29023,"MO",13,43194
"313","Butler, NE",31023,"NE",23.75,59717
"314","Butler, OH",39017,"OH",31.26,55636
"315","Butler, PA",42019,"PA",37.51,67203
"316","Butte, CA",6007,"CA",28.32,54694
"317","Butte, ID",16023,"ID",17.18,48844
"318","Butte, SD",46019,"SD",21.47,45885
"319","Butts, GA",13035,"GA",11.09,41657
"320","Cabarrus, NC",37025,"NC",33.52,53647
"321","Cabell, WV",54011,"WV",27.1,49866
"322","Cache, UT",49005,"UT",38.48,47269
"323","Caddo, OK",40015,"OK",15.17,45452
"324","Calaveras, CA",6009,"CA",19.82,57726
"325","Caldwell, KY",21033,"KY",16.81,44963
"326","Caldwell, MO",29025,"MO",15.03,45802
"327","Caldwell, NC",37027,"NC",15.84,43856
"328","Caldwell, TX",48055,"TX",14.79,41642
"329","Caledonia, VT",50005,"VT",30.67,50533
"330","Calhoun, AL",1015,"AL",18.86,42621
"331","Calhoun, AR",5013,"AR",10.71,45401
"332","Calhoun, FL",12013,"FL",9.06,35792
"333","Calhoun, GA",13037,"GA",11.85,34306
"334","Calhoun, IA",19025,"IA",19.7,57289
"335","Calhoun, IL",17013,"IL",15.7,55240
"336","Calhoun, MI",26025,"MI",21.46,47789
"337","Calhoun, MS",28013,"MS",11.28,43222
"338","Calhoun, SC",45017,"SC",18.81,50375
"339","Calhoun, TX",48057,"TX",17.51,60589
"340","Calhoun, WV",54013,"WV",12.23,41444
"341","Callahan, TX",48059,"TX",22.44,50963
"342","Callaway, MO",29027,"MO",23.45,46191
"343","Calloway, KY",21035,"KY",31.98,44116
"344","Calumet, WI",55015,"WI",29.9,57182
"345","Calvert, MD",24009,"MD",34.2,70690
"346","Camas, ID",16025,"ID",22.1,62248
"347","Cambria, PA",42021,"PA",21.97,49472
"348","Camden, GA",13039,"GA",22.5,42945
"349","Camden, MO",29029,"MO",22.25,53779
"350","Camden, NC",37029,"NC",19.9,55457
"351","Camden, NJ",34007,"NJ",32.25,61642
"352","Cameron, PA",42023,"PA",10.78,54352
"353","Cameron, TX",48061,"TX",18.15,37861
"354","Camp, TX",48063,"TX",21.88,46705
"355","Campbell, KY",21037,"KY",37.47,58701
"356","Campbell, SD",46021,"SD",28.27,79723
"357","Campbell, TN",47013,"TN",12.95,42471
"358","Campbell, WY",56005,"WY",19.75,56008
"359","Canadian, OK",40017,"OK",28.38,50309
"360","Candler, GA",13043,"GA",11.35,40988
"361","Cannon, TN",47015,"TN",16.33,44419
"362","Canyon, ID",16027,"ID",20.16,41980
"363","Cape Girardeau, MO",29031,"MO",31.87,48732
"364","Cape May, NJ",34009,"NJ",33.55,72010
"365","Carbon, MT",30009,"MT",31.51,59715
"366","Carbon, PA",42025,"PA",17.92,59317
"367","Carbon, UT",49007,"UT",16.76,45120
"368","Carbon, WY",56007,"WY",20.48,64804
"369","Caribou, ID",16029,"ID",17.52,47740
"370","Carlisle, KY",21039,"KY",14.28,52638
"371","Carlton, MN",27017,"MN",22.59,49797
"372","Caroline, MD",24011,"MD",18.96,53549
"373","Caroline, VA",51033,"VA",21.84,49650
"374","Carroll, AR",5015,"AR",21.23,40689
"375","Carroll, GA",13045,"GA",22.07,47002
"376","Carroll, IA",19027,"IA",23.42,60290
"377","Carroll, IL",17015,"IL",19.73,49976
"378","Carroll, IN",18015,"IN",15.36,51293
"379","Carroll, KY",21041,"KY",7.44,45317
"380","Carroll, MD",24013,"MD",36.95,69397
"381","Carroll, MO",29033,"MO",17.71,54784
"382","Carroll, MS",28015,"MS",14.52,44908
"383","Carroll, NH",33003,"NH",36.97,69803
"384","Carroll, OH",39019,"OH",13.21,48319
"385","Carroll, TN",47017,"TN",18.75,40502
"386","Carson City, NV",32510,"NV",22.86,60445
"387","Carson, TX",48065,"TX",27.91,56357
"388","Carter, KY",21043,"KY",13.81,39323
"389","Carter, MO",29035,"MO",15.16,45237
"390","Carter, MT",30011,"MT",21.14,39354
"391","Carter, OK",40019,"OK",20.2,48733
"392","Carter, TN",47019,"TN",18.47,40739
"393","Carteret, NC",37031,"NC",28.54,60741
"394","Carver, MN",27019,"MN",49.11,80562
"395","Cascade, MT",30013,"MT",27.32,53765
"396","Casey, KY",21045,"KY",11.21,40837
"397","Cass, IA",19029,"IA",23,55056
"398","Cass, IL",17017,"IL",15.98,48959
"399","Cass, IN",18017,"IN",12.99,47854
"400","Cass, MI",26027,"MI",20.7,56042
"401","Cass, MN",27021,"MN",25.05,56491
"402","Cass, MO",29037,"MO",27,54020
"403","Cass, ND",38017,"ND",40.78,65803
"404","Cass, NE",31025,"NE",29.38,60920
"405","Cass, TX",48067,"TX",18.31,46101
"406","Cassia, ID",16031,"ID",19.42,47780
"407","Castro, TX",48069,"TX",16.45,81900
"408","Caswell, NC",37033,"NC",15.81,42247
"409","Catawba, NC",37035,"NC",23.06,53333
"410","Catoosa, GA",13047,"GA",23.05,42448
"411","Catron, NM",35003,"NM",16.66,37990
"412","Cattaraugus, NY",36009,"NY",19.91,46775
"413","Cavalier, ND",38019,"ND",22.76,88700
"414","Cayuga, NY",36011,"NY",21.97,51431
"415","Cecil, MD",24015,"MD",25.27,55293
"416","Cedar, IA",19031,"IA",21.04,63197
"417","Cedar, MO",29039,"MO",13.74,36748
"418","Cedar, NE",31027,"NE",20.96,66572
"419","Centre, PA",42027,"PA",45.77,54994
"420","Cerro Gordo, IA",19033,"IA",23.2,56955
"421","Chaffee, CO",8015,"CO",35.53,60550
"422","Chambers, AL",1017,"AL",14.44,39728
"423","Chambers, TX",48071,"TX",22.48,60591
"424","Champaign, IL",17019,"IL",45.04,54638
"425","Champaign, OH",39021,"OH",15.89,50151
"426","Chariton, MO",29041,"MO",18.46,51590
"427","Charles City, VA",51036,"VA",16.22,58882
"428","Charles Mix, SD",46023,"SD",20.23,50673
"429","Charles, MD",24017,"MD",29.99,63939
"430","Charleston, SC",45019,"SC",45.3,73032
"431","Charlevoix, MI",26029,"MI",32.37,62505
"432","Charlotte, FL",12015,"FL",23.83,51677
"433","Charlotte, VA",51037,"VA",13.9,43870
"434","Charlton, GA",13049,"GA",12.81,30916
"435","Chase, KS",20017,"KS",27.1,64717
"436","Chase, NE",31029,"NE",22.2,69366
"437","Chatham, GA",13051,"GA",34.36,54586
"438","Chatham, NC",37037,"NC",43.69,75624
"439","Chattahoochee, GA",13053,"GA",26.99,39690
"440","Chattooga, GA",13055,"GA",9.72,36833
"441","Chautauqua, KS",20019,"KS",14.51,45394
"442","Chautauqua, NY",36013,"NY",23.06,47642
"443","Chaves, NM",35005,"NM",17.68,45577
"444","Cheatham, TN",47021,"TN",20.5,54069
"445","Cheboygan, MI",26031,"MI",21.83,48078
"446","Chelan, WA",53007,"WA",26.37,62792
"447","Chemung, NY",36015,"NY",23.55,52360
"448","Chenango, NY",36017,"NY",18.97,50568
"449","Cherokee, AL",1019,"AL",12.93,43719
"450","Cherokee, GA",13057,"GA",36.92,60235
"451","Cherokee, IA",19035,"IA",22.71,61661
"452","Cherokee, KS",20021,"KS",19.95,51492
"453","Cherokee, NC",37039,"NC",21.86,40485
"454","Cherokee, OK",40021,"OK",27.48,40638
"455","Cherokee, SC",45021,"SC",14.38,40230
"456","Cherokee, TX",48073,"TX",17.43,43376
"457","Cherry, NE",31031,"NE",23.91,55302
"458","Cheshire, NH",33005,"NH",33.71,64870
"459","Chester, PA",42029,"PA",54.21,95483
"460","Chester, SC",45023,"SC",13.71,43169
"461","Chester, TN",47023,"TN",15.94,41568
"462","Chesterfield, SC",45025,"SC",12.39,39538
"463","Chesterfield, VA",51041,"VA",40.05,61200
"464","Cheyenne, CO",8017,"CO",23.46,76057
"465","Cheyenne, KS",20023,"KS",26.01,65154
"466","Cheyenne, NE",31033,"NE",25.45,52730
"467","Chickasaw, IA",19037,"IA",17.8,64737
"468","Chickasaw, MS",28017,"MS",12.47,41179
"469","Chicot, AR",5017,"AR",14.64,47402
"470","Childress, TX",48075,"TX",18.76,39953
"471","Chilton, AL",1021,"AL",13.62,41748
"472","Chippewa, MI",26033,"MI",22.62,42943
"473","Chippewa, MN",27023,"MN",19.68,57395
"474","Chippewa, WI",55017,"WI",22.11,53415
"475","Chisago, MN",27025,"MN",22.25,57574
"476","Chittenden, VT",50007,"VT",52.61,67921
"477","Choctaw, AL",1023,"AL",13.52,44241
"478","Choctaw, MS",28019,"MS",20.35,40804
"479","Choctaw, OK",40023,"OK",13.53,40395
"480","Chouteau, MT",30015,"MT",29.04,39287
"481","Chowan, NC",37041,"NC",21.69,50460
"482","Christian, IL",17021,"IL",17.94,48831
"483","Christian, KY",21047,"KY",18.75,45643
"484","Christian, MO",29043,"MO",30.67,48509
"485","Churchill, NV",32001,"NV",18.75,54726
"486","Cibola, NM",35006,"NM",17.31,34627
"487","Cimarron, OK",40025,"OK",26.64,68769
"488","Citrus, FL",12017,"FL",18.9,45050
"489","Clackamas, OR",41005,"OR",37.99,71504
"490","Claiborne, MS",28021,"MS",20.66,37833
"491","Claiborne, TN",47025,"TN",17.4,42542
"492","Clallam, WA",53009,"WA",28.84,54894
"493","Clare, MI",26035,"MI",12.13,40710
"494","Clarendon, SC",45027,"SC",15.78,44874
"495","Clarion, PA",42031,"PA",22.98,49611
"496","Clark, AR",5019,"AR",25.17,42664
"497","Clark, ID",16033,"ID",16.67,47973
"498","Clark, IL",17023,"IL",21.84,51307
"499","Clark, IN",18019,"IN",20.72,51887
"500","Clark, KS",20025,"KS",30.43,59045
"501","Clark, KY",21049,"KY",20.15,47411
"502","Clark, MO",29045,"MO",12.21,43325
"503","Clark, NV",32003,"NV",25.16,58276
"504","Clark, OH",39023,"OH",18.93,47929
"505","Clark, SD",46025,"SD",18.88,71383
"506","Clark, WA",53011,"WA",31.34,63427
"507","Clark, WI",55019,"WI",13.45,50128
"508","Clarke, AL",1025,"AL",13.79,45232
"509","Clarke, GA",13059,"GA",45.35,40672
"510","Clarke, IA",19039,"IA",15.9,45292
"511","Clarke, MS",28023,"MS",12.89,43918
"512","Clarke, VA",51043,"VA",34.67,75403
"513","Clatsop, OR",41007,"OR",23.97,52250
"514","Clay, AL",1027,"AL",11.78,38705
"515","Clay, AR",5021,"AR",13.62,42999
"516","Clay, FL",12019,"FL",26.15,51885
"517","Clay, GA",13061,"GA",16.89,40439
"518","Clay, IA",19041,"IA",23.89,59187
"519","Clay, IL",17025,"IL",15.34,49656
"520","Clay, IN",18021,"IN",16.54,44878
"521","Clay, KS",20027,"KS",27.63,50592
"522","Clay, KY",21051,"KY",9.47,39099
"523","Clay, MN",27027,"MN",34.17,51260
"524","Clay, MO",29047,"MO",32.85,56118
"525","Clay, MS",28025,"MS",20.3,46228
"526","Clay, NC",37043,"NC",27.04,43300
"527","Clay, NE",31035,"NE",19.87,63915
"528","Clay, SD",46027,"SD",48.91,47288
"529","Clay, TN",47027,"TN",12.99,40338
"530","Clay, TX",48077,"TX",23.62,51938
"531","Clay, WV",54015,"WV",10.28,39788
"532","Clayton, GA",13063,"GA",19.15,36056
"533","Clayton, IA",19043,"IA",17.06,59656
"534","Clear Creek, CO",8019,"CO",50.85,77242
"535","Clearfield, PA",42033,"PA",16.78,52478
"536","Clearwater, ID",16035,"ID",17.26,41834
"537","Clearwater, MN",27029,"MN",17.59,54687
"538","Cleburne, AL",1029,"AL",16.02,42836
"539","Cleburne, AR",5023,"AR",16.73,45289
"540","Clermont, OH",39025,"OH",28.87,64895
"541","Cleveland, AR",5025,"AR",15.9,49569
"542","Cleveland, NC",37045,"NC",19.5,45544
"543","Cleveland, OK",40027,"OK",34.27,49946
"544","Clinch, GA",13065,"GA",10.83,42450
"545","Clinton, IA",19045,"IA",19.29,52308
"546","Clinton, IL",17027,"IL",21.7,56536
"547","Clinton, IN",18023,"IN",14.64,45305
"548","Clinton, KY",21053,"KY",12.32,44613
"549","Clinton, MI",26037,"MI",32.1,54719
"550","Clinton, MO",29049,"MO",21.96,48730
"551","Clinton, NY",36019,"NY",24.42,50625
"552","Clinton, OH",39027,"OH",20.03,52090
"553","Clinton, PA",42035,"PA",19.56,49312
"554","Cloud, KS",20029,"KS",24,47195
"555","Coahoma, MS",28027,"MS",17.73,44714
"556","Coal, OK",40029,"OK",17.27,44170
"557","Cobb, GA",13067,"GA",48.44,67616
"558","Cochise, AZ",4003,"AZ",25.55,49096
"559","Cochran, TX",48079,"TX",8.24,62305
"560","Cocke, TN",47029,"TN",11.3,40384
"561","Coconino, AZ",4005,"AZ",37.63,56914
"562","Codington, SD",46029,"SD",20.01,59387
"563","Coffee, AL",1031,"AL",21.73,49196
"564","Coffee, GA",13069,"GA",12.17,40209
"565","Coffee, TN",47031,"TN",21.17,46299
"566","Coffey, KS",20031,"KS",23.62,58867
"567","Coke, TX",48081,"TX",22.19,48804
"568","Colbert, AL",1033,"AL",17.37,44279
"569","Cole, MO",29051,"MO",35.55,54941
"570","Coleman, TX",48083,"TX",16.86,54822
"571","Coles, IL",17029,"IL",26.08,53596
"572","Colfax, NE",31037,"NE",14.92,54392
"573","Colfax, NM",35007,"NM",21.42,47563
"574","Colleton, SC",45029,"SC",16.29,42481
"575","Collier, FL",12021,"FL",35.88,117984
"576","Collin, TX",48085,"TX",53.23,77006
"577","Collingsworth, TX",48087,"TX",22.32,54140
"578","Colorado, TX",48089,"TX",19.07,59219
"579","Colquitt, GA",13071,"GA",13.67,40678
"580","Columbia, AR",5027,"AR",20.49,42785
"581","Columbia, FL",12023,"FL",14.9,43184
"582","Columbia, GA",13073,"GA",36.48,58242
"583","Columbia, NY",36021,"NY",33.67,65426
"584","Columbia, OR",41009,"OR",18.03,53573
"585","Columbia, PA",42037,"PA",24.33,50176
"586","Columbia, WA",53013,"WA",25.29,70579
"587","Columbia, WI",55021,"WI",24.15,60708
"588","Columbiana, OH",39029,"OH",14.54,45580
"589","Columbus, NC",37047,"NC",12.89,44729
"590","Colusa, CA",6011,"CA",14.88,54511
"591","Comal, TX",48091,"TX",37.92,67063
"592","Comanche, KS",20033,"KS",17.27,54928
"593","Comanche, OK",40031,"OK",23.18,47650
"594","Comanche, TX",48093,"TX",20.13,50112
"595","Concho, TX",48095,"TX",13.19,38635
"596","Conecuh, AL",1035,"AL",13.83,41656
"597","Conejos, CO",8021,"CO",25.5,45961
"598","Contra Costa, CA",6013,"CA",43.33,99312
"599","Converse, WY",56009,"WY",19.68,69583
"600","Conway, AR",5029,"AR",17.72,46412
"601","Cook, GA",13075,"GA",15.7,39380
"602","Cook, IL",17031,"IL",39.98,73557
"603","Cook, MN",27031,"MN",45.17,59112
"604","Cooke, TX",48097,"TX",21.77,59800
"605","Cooper, MO",29053,"MO",22.35,47383
"606","Coos, NH",33007,"NH",19.67,52132
"607","Coos, OR",41011,"OR",19.91,55759
"608","Coosa, AL",1037,"AL",11.56,38275
"609","Copiah, MS",28029,"MS",16.8,39166
"610","Corson, SD",46031,"SD",16.13,38834
"611","Cortland, NY",36023,"NY",26.91,48617
"612","Coryell, TX",48099,"TX",16.92,37476
"613","Coshocton, OH",39031,"OH",14.89,42403
"614","Costilla, CO",8023,"CO",23.88,43239
"615","Cottle, TX",48101,"TX",18.86,73613
"616","Cotton, OK",40033,"OK",15.13,51300
"617","Cottonwood, MN",27033,"MN",20.75,58229
"618","Covington, AL",1039,"AL",15.61,41458
"619","Covington, MS",28031,"MS",14.7,45169
"620","Coweta, GA",13077,"GA",33.26,57721
"621","Cowley, KS",20035,"KS",22.74,44888
"622","Cowlitz, WA",53015,"WA",16.98,54550
"623","Craig, OK",40035,"OK",14.36,43958
"624","Craig, VA",51045,"VA",21.67,47457
"625","Craighead, AR",5031,"AR",27.1,45160
"626","Crane, TX",48103,"TX",13.31,54119
"627","Craven, NC",37049,"NC",24.95,54135
"628","Crawford, AR",5033,"AR",18.22,40691
"629","Crawford, GA",13079,"GA",10.63,41063
"630","Crawford, IA",19047,"IA",15.14,51690
"631","Crawford, IL",17033,"IL",16.54,52318
"632","Crawford, IN",18025,"IN",10.46,41854
"633","Crawford, KS",20037,"KS",29.49,45046
"634","Crawford, MI",26039,"MI",19.13,44116
"635","Crawford, MO",29055,"MO",11.9,43192
"636","Crawford, OH",39033,"OH",15.33,45755
"637","Crawford, PA",42039,"PA",20.44,48431
"638","Crawford, WI",55023,"WI",18.94,49273
"639","Creek, OK",40037,"OK",16.05,47927
"640","Crenshaw, AL",1041,"AL",18.5,46038
"641","Crisp, GA",13081,"GA",13.66,45951
"642","Crittenden, AR",5035,"AR",17.45,45416
"643","Crittenden, KY",21055,"KY",13.64,43616
"644","Crockett, TN",47033,"TN",15.19,49729
"645","Crockett, TX",48105,"TX",9.67,57013
"646","Crook, OR",41013,"OR",18.84,50708
"647","Crook, WY",56011,"WY",24.06,51825
